,state,week_of_year,pop_count_2019,percent_age65over,percent_female,percent_white,percent_black,cases_cum,cases_cum_rate_100K,cases_count_pos,cases_rate_100K
1346,New Hampshire,45,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,82880,6095.412922304813,1274.0,93.69638106921249
1347,New Hampshire,46,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,95147,6997.589929036391,2183.0,160.5488225071357
1348,New Hampshire,47,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,114034,8386.635101135462,2927.0,215.26633233091445
1349,New Hampshire,48,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,133771,9838.193557307399,2882.0,211.95680552705684
1350,New Jersey,4,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658372,0,0.0,0.0,0.0
1351,New Jersey,5,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,0,0.0,0.0,0.0
1352,New Jersey,6,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,0,0.0,0.0,0.0
1353,New Jersey,7,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,0,0.0,0.0,0.0
1354,New Jersey,8,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,0,0.0,0.0,0.0
1355,New Jersey,9,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,0,0.0,0.0,0.0
1356,New Jersey,10,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,17,0.1913942394837309,6.0,0.0675509080530815
1357,New Jersey,11,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,301,3.3888038873295887,92.0,1.0357805901472497
1358,New Jersey,12,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,5752,64.75880385355414,1816.0,20.44540817073267
1359,New Jersey,13,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,51132,575.6688384283606,11472.0,129.15733619749182
1360,New Jersey,14,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,184701,2079.453378052034,24119.0,271.5433918887121
1361,New Jersey,15,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,358559,4036.831006767475,24345.0,274.0878094253782
1362,New Jersey,16,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,524943,5910.062721018127,23451.0,264.02272412546904
1363,New Jersey,17,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,693804,7811.181701810026,23737.0,267.2426507426659
1364,New Jersey,18,8882190,16.612288185683934,51.13156777776652,71.9282519288599,15.057739138658373,831611,9362.679699488528,17706.0,199.3427296646435
